CODIGO_CLIENTE;UF;IDADE;ESCOLARIDADE;ESTADO_CIVIL;QT_FILHOS;CASA_PROPRIA;QT_IMOVEIS;VL_IMOVEIS;OUTRA_RENDA;OUTRA_RENDA_VALOR;TEMPO_ULTIMO_EMPREGO_MESES;TRABALHANDO_ATUALMENTE;ULTIMO_SALARIO;QT_CARROS;VALOR_TABELA_CARROS;SCORE
33;SP;62;Superior Cursando;Casado;3;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
34;RJ;65;Superior Completo;Viuvo;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
35;SP;19;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
36;MG;23;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
37;SC;25;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
38;PR;27;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
39;RJ;28;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
40;SP;30;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
41;MG;32;Superior Cursando;Solteiro;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
42;SC;35;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
43;PR;42;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
44;RJ;45;Superior Cursando;Casado;0;Não;0;0;Não;0;120;Não;9800;0;0;62
45;SP;48;Superior Completo;Divorciado;2;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
46;MG;51;Segundo Grau Completo;Divorciado;1;Sim;0;0;Não;0;80;Não;6100;2;48000;73
47;SC;53;Superior Cursando;Casado;2;Não;1;280000;Não;0;12;Sim;9000;0;0;78
48;PR;55;Superior Completo;Casado;2;Não;3;700000;Não;0;75;Não;17500;1;50000;84
49;RJ;57;Segundo Grau Completo;Casado;3;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
50;SP;62;Superior Cursando;Casado;3;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
51;RJ;65;Superior Completo;Viuvo;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
52;SP;19;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
53;MG;23;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
54;SC;25;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
55;PR;27;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
56;RJ;28;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
57;SP;30;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
58;MG;32;Superior Cursando;Solteiro;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
59;SC;35;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
60;PR;42;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
61;RJ;45;Superior Cursando;Casado;0;Não;0;0;Não;0;120;Não;9800;0;0;62
62;SP;48;Superior Completo;Divorciado;2;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
63;MG;51;Segundo Grau Completo;Divorciado;1;Sim;0;0;Não;0;80;Não;6100;2;48000;73
64;SC;53;Superior Cursando;Casado;2;Não;1;280000;Não;0;12;Sim;9000;0;0;78
65;PR;55;Superior Completo;Casado;2;Não;3;700000;Não;0;75;Não;17500;1;50000;84
66;RJ;57;Segundo Grau Completo;Casado;3;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
67;SP;62;Superior Cursando;Casado;3;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
68;RJ;65;Superior Completo;Viuvo;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
69;SP;19;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
70;MG;23;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
71;SC;25;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
72;PR;27;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
73;RJ;28;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
74;SP;30;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
75;MG;32;Superior Cursando;Solteiro;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
76;SC;35;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
77;PR;42;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
78;RJ;45;Superior Cursando;Casado;0;Não;0;0;Não;0;120;Não;9800;0;0;62
79;SP;48;Superior Completo;Divorciado;2;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
80;MG;51;Segundo Grau Completo;Divorciado;1;Sim;0;0;Não;0;80;Não;6100;2;48000;73
81;SC;53;Superior Cursando;Casado;2;Não;1;280000;Não;0;12;Sim;9000;0;0;78
82;PR;55;Superior Completo;Casado;2;Não;3;700000;Não;0;75;Não;17500;1;50000;84
83;RJ;57;Segundo Grau Completo;Casado;3;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
84;SP;62;Superior Cursando;Casado;3;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
85;RJ;65;Superior Completo;Viuvo;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
86;SP;19;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
87;MG;23;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
88;SC;25;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
89;PR;27;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
90;RJ;28;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
91;SP;30;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
92;MG;32;Superior Cursando;Solteiro;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
93;SC;35;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
94;PR;42;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
95;RJ;45;Superior Cursando;Casado;0;Não;0;0;Não;0;120;Não;9800;0;0;62
96;SP;48;Superior Completo;Divorciado;2;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
97;MG;51;Segundo Grau Completo;Divorciado;1;Sim;0;0;Não;0;80;Não;6100;2;48000;73
98;SC;53;Superior Cursando;Casado;2;Não;1;280000;Não;0;12;Sim;9000;0;0;78
99;PR;55;Superior Completo;Casado;2;Não;3;700000;Não;0;75;Não;17500;1;50000;84
100;RJ;57;Segundo Grau Completo;Casado;3;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
101;SP;62;Superior Cursando;Casado;3;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
102;RJ;65;Superior Completo;Viuvo;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
103;SP;19;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
104;MG;23;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
105;SC;25;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
106;PR;27;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
107;RJ;28;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
108;SP;30;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
109;MG;32;Superior Cursando;Solteiro;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
110;SC;35;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
111;PR;42;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
112;RJ;45;Superior Cursando;Casado;0;Não;0;0;Não;0;120;Não;9800;0;0;62
113;SP;48;Superior Completo;Divorciado;2;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
114;MG;51;Segundo Grau Completo;Divorciado;1;Sim;0;0;Não;0;80;Não;6100;2;48000;73
115;SC;53;Superior Cursando;Casado;2;Não;1;280000;Não;0;12;Sim;9000;0;0;78
116;PR;55;Superior Completo;Casado;2;Não;3;700000;Não;0;75;Não;17500;1;50000;84
117;RJ;57;Segundo Grau Completo;Casado;3;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
118;SP;62;Superior Cursando;Casado;3;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
119;RJ;65;Superior Completo;Viuvo;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
120;SP;19;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
121;MG;23;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
122;SC;25;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
123;PR;27;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
124;RJ;28;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
125;SP;30;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
126;MG;32;Superior Cursando;Solteiro;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
127;SC;35;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
128;PR;42;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
129;RJ;45;Superior Cursando;Casado;0;Não;0;0;Não;0;120;Não;9800;0;0;62
130;SP;48;Superior Completo;Divorciado;2;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
131;MG;51;Segundo Grau Completo;Divorciado;1;Sim;0;0;Não;0;80;Não;6100;2;48000;73
132;SC;53;Superior Cursando;Casado;2;Não;1;280000;Não;0;12;Sim;9000;0;0;78
133;PR;55;Superior Completo;Casado;2;Não;3;700000;Não;0;75;Não;17500;1;50000;84
134;RJ;57;Segundo Grau Completo;Casado;3;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
135;SP;62;Superior Cursando;Casado;3;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
136;RJ;65;Superior Completo;Viuvo;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
137;SP;19;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
138;MG;23;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
139;SC;25;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
140;PR;27;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
141;RJ;28;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
142;SP;30;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
143;MG;32;Superior Cursando;Solteiro;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
144;SC;35;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
145;PR;42;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
146;RJ;45;Superior Cursando;Casado;0;Não;0;0;Não;0;120;Não;9800;0;0;62
147;SP;48;Superior Completo;Divorciado;2;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
148;MG;51;Segundo Grau Completo;Divorciado;1;Sim;0;0;Não;0;80;Não;6100;2;48000;73
149;SC;53;Superior Cursando;Casado;2;Não;1;280000;Não;0;12;Sim;9000;0;0;78
150;PR;55;Superior Completo;Casado;2;Não;3;700000;Não;0;75;Não;17500;1;50000;84
151;RJ;57;Segundo Grau Completo;Casado;3;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
152;SP;62;Superior Cursando;Casado;3;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
153;RJ;65;Superior Completo;Viuvo;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
154;SP;19;Superior Cursando;Solteiro;0;Não;0;0;Não;0;8;Sim;1800;0;0;12
155;MG;23;Superior Completo;Solteiro;1;Não;0;0;Não;0;9;Não;4800;1;50000;18
156;SC;25;Segundo Grau Completo;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
157;PR;27;Superior Cursando;Casado;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
158;RJ;28;Superior Completo;Divorciado;2;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
159;SP;30;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
160;MG;32;Superior Cursando;Solteiro;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
161;SC;35;Superior Completo;Solteiro;1;Não;0;0;Não;0;8;Sim;1800;0;0;12
162;PR;42;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;9;Não;4800;1;50000;18
163;RJ;45;Superior Cursando;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
164;SP;48;Superior Completo;Divorciado;2;Sim;0;0;Não;0;22;Não;3900;0;0;29
165;MG;51;Segundo Grau Completo;Divorciado;1;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
166;SC;53;Superior Cursando;Casado;2;Não;0;0;Não;0;14;Sim;3100;2;40000;40
167;PR;55;Superior Completo;Casado;2;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
168;RJ;57;Segundo Grau Completo;Casado;3;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
169;SP;62;Superior Cursando;Casado;3;Não;0;0;Não;0;48;Sim;4500;2;28000;56
170;RJ;65;Superior Completo;Viuvo;1;Não;0;0;Não;0;120;Não;9800;0;0;62
171;SP;19;Superior Cursando;Solteiro;0;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
172;MG;23;Superior Completo;Solteiro;1;Sim;0;0;Não;0;80;Não;6100;2;48000;73
173;SC;25;Segundo Grau Completo;Casado;0;Não;1;280000;Não;0;12;Sim;9000;0;0;78
174;PR;25;Superior Cursando;Casado;1;Não;3;700000;Não;0;75;Não;17500;1;50000;84
175;RJ;28;Superior Completo;Divorciado;2;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
176;SP;30;Segundo Grau Completo;Divorciado;0;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
177;MG;32;Superior Cursando;Solteiro;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
178;SC;35;Superior Completo;Solteiro;1;Não;0;0;Não;0;8;Sim;1800;0;0;12
179;PR;42;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;9;Não;4800;1;50000;18
180;RJ;45;Superior Cursando;Casado;0;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
181;SP;48;Superior Completo;Divorciado;2;Sim;0;0;Não;0;22;Não;3900;0;0;29
182;MG;51;Segundo Grau Completo;Divorciado;1;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
183;SC;53;Superior Cursando;Casado;2;Não;0;0;Não;0;14;Sim;3100;2;40000;40
184;PR;55;Superior Completo;Casado;2;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
185;RJ;57;Segundo Grau Completo;Casado;3;Não;0;0;Não;0;8;Sim;1800;0;0;12
186;SP;62;Superior Cursando;Casado;3;Não;0;0;Não;0;9;Não;4800;1;50000;18
187;RJ;65;Superior Completo;Viuvo;1;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
188;SP;19;Superior Cursando;Solteiro;0;Sim;0;0;Não;0;22;Não;3900;0;0;29
189;MG;23;Superior Completo;Solteiro;1;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
190;SC;25;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
191;PR;27;Superior Cursando;Casado;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
192;RJ;28;Superior Completo;Divorciado;2;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
193;SP;30;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
194;MG;32;Superior Cursando;Solteiro;1;Não;0;0;Não;0;120;Não;9800;0;0;62
195;SC;35;Superior Completo;Solteiro;1;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
196;PR;42;Segundo Grau Completo;Casado;0;Sim;0;0;Não;0;80;Não;6100;2;48000;73
197;RJ;45;Superior Cursando;Casado;0;Não;1;280000;Não;0;12;Sim;9000;0;0;78
198;SP;48;Superior Completo;Divorciado;2;Não;3;700000;Não;0;75;Não;17500;1;50000;84
199;MG;51;Segundo Grau Completo;Divorciado;1;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
200;SC;53;Superior Cursando;Casado;2;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
201;PR;55;Superior Completo;Casado;2;Não;3;900000;Não;0;150;Não;18300;1;80000;98
202;RJ;57;Segundo Grau Completo;Casado;3;Não;0;0;Não;0;8;Sim;1800;0;0;12
203;SP;62;Superior Cursando;Casado;3;Não;0;0;Não;0;9;Não;4800;1;50000;18
204;RJ;65;Superior Completo;Viuvo;1;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
205;SP;19;Superior Cursando;Solteiro;0;Sim;0;0;Não;0;22;Não;3900;0;0;29
206;MG;23;Superior Completo;Solteiro;1;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
207;SC;25;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
208;PR;27;Superior Cursando;Casado;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
209;RJ;28;Superior Completo;Divorciado;2;Não;0;0;Não;0;8;Sim;1800;0;0;12
210;SP;30;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;9;Não;4800;1;50000;18
211;MG;32;Superior Cursando;Solteiro;1;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
212;SC;35;Superior Completo;Solteiro;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
213;PR;42;Segundo Grau Completo;Casado;0;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
214;RJ;45;Superior Cursando;Casado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
215;SP;48;Superior Completo;Divorciado;2;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
216;MG;51;Segundo Grau Completo;Divorciado;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
217;SC;53;Superior Cursando;Casado;2;Não;0;0;Não;0;48;Sim;4500;2;28000;56
218;PR;55;Superior Completo;Casado;2;Não;0;0;Não;0;120;Não;9800;0;0;62
219;RJ;57;Segundo Grau Completo;Casado;3;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
220;SP;62;Superior Cursando;Casado;3;Sim;0;0;Não;0;80;Não;6100;2;48000;73
221;RJ;65;Superior Completo;Viuvo;1;Não;1;280000;Não;0;12;Sim;9000;0;0;78
222;SP;19;Superior Cursando;Solteiro;0;Não;3;700000;Não;0;75;Não;17500;1;50000;84
223;MG;23;Superior Completo;Solteiro;1;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
224;SC;25;Segundo Grau Completo;Casado;0;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
225;PR;27;Superior Cursando;Casado;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
226;RJ;28;Superior Completo;Divorciado;2;Não;0;0;Não;0;8;Sim;1800;0;0;12
227;SP;30;Segundo Grau Completo;Divorciado;0;Não;0;0;Não;0;9;Não;4800;1;50000;18
228;MG;32;Superior Cursando;Solteiro;1;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
229;SC;35;Superior Completo;Solteiro;1;Sim;0;0;Não;0;22;Não;3900;0;0;29
230;PR;42;Segundo Grau Completo;Casado;0;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
231;RJ;45;Superior Cursando;Casado;0;Não;0;0;Não;0;14;Sim;3100;2;40000;40
232;SP;48;Superior Completo;Divorciado;2;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
233;MG;51;Segundo Grau Completo;Divorciado;1;Não;0;0;Não;0;8;Sim;1800;0;0;12
234;SC;53;Superior Cursando;Casado;2;Não;0;0;Não;0;9;Não;4800;1;50000;18
235;PR;55;Superior Completo;Casado;2;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
236;RJ;57;Segundo Grau Completo;Casado;3;Sim;0;0;Não;0;22;Não;3900;0;0;29
237;SP;62;Superior Cursando;Casado;3;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
238;RJ;65;Superior Completo;Viuvo;1;Não;0;0;Não;0;14;Sim;3100;2;40000;40
239;SP;19;Superior Cursando;Solteiro;0;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
240;MG;23;Superior Completo;Solteiro;1;Sim;2;450000;Sim;2400;25;Sim;22000;1;150000;51
241;SC;25;Segundo Grau Completo;Casado;0;Não;0;0;Não;0;48;Sim;4500;2;28000;56
242;PR;27;Superior Cursando;Casado;1;Não;0;0;Não;0;120;Não;9800;0;0;62
243;RJ;28;Superior Completo;Divorciado;2;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
244;SP;30;Segundo Grau Completo;Divorciado;0;Sim;0;0;Não;0;80;Não;6100;2;48000;73
245;MG;32;Superior Cursando;Solteiro;1;Não;1;280000;Não;0;12;Sim;9000;0;0;78
246;SC;35;Superior Completo;Solteiro;1;Não;3;700000;Não;0;75;Não;17500;1;50000;84
247;PR;42;Segundo Grau Completo;Casado;0;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
248;RJ;45;Superior Cursando;Casado;0;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
249;SP;48;Superior Completo;Divorciado;2;Não;3;900000;Não;0;150;Não;18300;1;80000;98
250;MG;51;Segundo Grau Completo;Divorciado;1;Não;0;0;Não;0;8;Sim;1800;0;0;12
251;SC;53;Superior Cursando;Casado;2;Não;0;0;Não;0;9;Não;4800;1;50000;18
252;PR;55;Superior Completo;Casado;2;Sim;1;220000;Não;0;18;Sim;2200;2;30000;23
253;RJ;57;Segundo Grau Completo;Casado;3;Sim;0;0;Não;0;22;Não;3900;0;0;29
254;SP;62;Superior Cursando;Casado;3;Não;1;370000;Não;0;30;Sim;11500;1;35000;34
255;RJ;65;Superior Completo;Viuvo;1;Não;0;0;Não;0;14;Sim;3100;2;40000;40
256;RJ;65;Superior Completo;Viuvo;1;Sim;1;185000;Sim;3000;19;Sim;6800;0;0;45
257;SP;23;Segundo Grau Completo;Casado;3;Sim;2;600000;Não;0;15;Sim;15000;1;70000;67
258;MG;28;Superior Cursando;Casado;3;Sim;0;0;Não;0;80;Não;6100;2;48000;73
259;SC;30;Superior Completo;Viuvo;1;Não;1;280000;Não;0;12;Sim;9000;0;0;78
260;PR;32;Superior Cursando;Solteiro;0;Não;3;700000;Não;0;75;Não;17500;1;50000;84
261;RJ;35;Superior Completo;Solteiro;1;Sim;1;340000;Sim;4000;90;Sim;13000;2;180000;89
262;SP;42;Segundo Grau Completo;Casado;0;Sim;1;450000;Sim;3200;93;Não;5300;0;0;95
263;MG;45;Superior Cursando;Casado;1;Não;3;900000;Não;0;150;Não;18300;1;80000;98
264;SC;48;Superior Completo;Divorciado;2;Não;0;0;Não;0;8;Sim;1800;0;0;12
